  Denonimation,  Date creation,  Siege social,  Forme juridique,  Secteur d activite,  url,  Registre de commerce,  Capital
M.S.M GLOBAL SERVICES,15/10/2014,HANN MARISTES N&#xB0; 14/B,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/msm-global-services, SNDKR2014B18093,1000000
SOCIETE DE COMMERCE TRANSPORTS ENTREPRISE DE BATIMENTS,10/10/2014,KHAR YALLA N&#xB0; 66,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),TRANSPORT,http://www.creationdentreprise.sn/societe-de-commerce-transports-entreprise-de-batiments, SNDKR2014B17858,900000
GENERALE TECHNOLOGIE SERVICES SARL,17/10/2014,RESIDENCE MOURTADA VDN N&#xB0; 14,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/generale-technologie-services-sarl, SNDKR2014B18234 ,1000000
CAMINO SENEGAL - SARL,20/10/2014,AVE MALICK SY X AUTOROUTE 1ER...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),CABINETS CONSEILS JURIDIQUES(DROIT/FISCALITE),http://www.creationdentreprise.sn/camino-senegal-sarl, SNDKR2014B18308,1000000
ALBIDA INTERNATIONAL CENTRE - SUARL,20/10/2014,CITE KEUR GORGUI SACRE COEUR...,S.U.A.R.L,CABINETS CONSEILS JURIDIQUES(DROIT/FISCALITE),http://www.creationdentreprise.sn/albida-international-centre-suarl, SNDKR2014B18303,500000
WM CAPITAL - SARL,20/10/2014,APPT 14  RESIDENCE ATLANTIS...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),CABINETS CONSEILS JURIDIQUES(DROIT/FISCALITE),http://www.creationdentreprise.sn/wm-capital-sarl, SNDKR2014B18306,100000
FC GATEWAY SENEGAL -SUARL,20/10/2014,YOFF OCEAN PRES DE L&apos;...,S.U.A.R.L,NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/fc-gateway-senegal-suarl, SNDKR2014B18324,400000
SENLUXE TOURS - SUARL,20/10/2014,LIBERTE 6 EXTENSION N&#xB0; 36,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/senluxe-tours-suarl, SNDKR2014B18332,1000000
NEGOCE INTERNATIONAL CORPORATION - SUARL,21/10/2014,SICAP LIBERTE 6 N&#xB0; 8170,S.U.A.R.L,TRANSPORT AERIEN/TRANSPORT MARITIME,http://www.creationdentreprise.sn/negoce-international-corporation-suarl, SNDKR2014B18404,1000000
ARCHI ALUMINIUM - SARL,21/10/2014,SODIDA LOT 36,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/archi-aluminium-sarl, SNDKR2014B18408,1000000
ENTREPRISE DE TRAVAUX DE LA VALLEE,09/09/2014,HLM GRAND YOFF N&#xB0; 39,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),CABINETS CONSEILS JURIDIQUES(DROIT/FISCALITE),http://www.creationdentreprise.sn/entreprise-de-travaux-de-la-vallee, SNDKR2014B16051,Laréalisationdetravauxetlaprestationdeservicesdanslessecteursdel'eau,del'assainissement,del'agricultureetdel'environnement...
SN-CONSULTING - SARL,15/09/2014,SACRE COEUR 3 N&#xB0; 10184,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/sn-consulting-sarl, SNDKR2014B16386,500000
ADNET CONSULTING CORP LTD - SARL,16/09/2014,SACRE COEUR 3 N&#xB0; 9406,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/adnet-consulting-corp-ltd-sarl, SNDKR2014B16565,500000
OASIS-NTIC - SARL,16/09/2014,RUE 33 X 16 MEDINA,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/oasis-ntic-sarl, SNDKR2014B16592,200000
MY-ICE CREAM - SARL,16/09/2014,568  AVE BOURGUIBA,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),ALIMENTAIRE,http://www.creationdentreprise.sn/my-ice-cream-sarl, SNDKR2014B16586,1000000
SENEGAL METAL SARL,26/09/2014,ZONE A N&#xB0; 32,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIE METALLURGIQUE / SIDERURGIQUE,http://www.creationdentreprise.sn/senegal-metal-sarl, SNDKR2014B17302,1000000
SENEGAL ATAC SUPERMARCHES - SA,11/08/2014,KM 7 5 ROUTE DE RUFISQUE,SOCIETE ANONYME (S.A),ALIMENTAIRE,http://www.creationdentreprise.sn/senegal-atac-supermarches-sa, SNDKR2014B14114,100000000
CONSEILS ASSISTANCE ET SERVICES JURIDIQUES - SARL,20/08/2014,HLM MARISTES IMM. C N&#xB0;20,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),CABINETS CONSEILS JURIDIQUES(DROIT/FISCALITE),http://www.creationdentreprise.sn/conseils-assistance-et-services-juridiques-sarl, SNDKR2014B14908,1000000
